1929 or 1989?	1929年还是1989年?	1929年或1989年
PARIS – As the economic crisis deepens and widens, the world has been searching for historical analogies to help us understand what has been happening. At the start of the crisis, many people likened it to 1982 or 1973, which was reassuring, because both dates refer to classical cyclical downturns.	巴黎-随着经济危机不断加深和蔓延，整个世界一直在寻找历史上的类似事件希望有助于我们了解目前正在发生的情况。一开始，很多人把这次危机比作1982年或1973年所发生的情况，这样得类比是令人宽心的，因为这两段时期意味着典型的周期性衰退。	巴黎—随着经济危机加深和拓展,世界一直在寻找历史类比帮助理解所发生的事情。 危机一开始,许多人将它比作1982或1973年,这令人宽慰,因为两个日期都指经典周期滑坡。
The tendency is either excessive restraint (Europe) or a diffusion of the effort (the United States). Europe is being cautious in the name of avoiding debt and defending the euro, whereas the US has moved on many fronts in order not to waste an ideal opportunity to implement badly needed structural reforms.	如今人们的心情却是沉重多了，许多人开始把这次危机与1929年和1931年相比，即使一些国家政府的表现仍然似乎把视目前的情况为是典型的而看见的衰退。目前的趋势是，要么是过度的克制（欧洲），要么是努力的扩展（美国）。欧洲在避免债务和捍卫欧元的名义下正变得谨慎，而美国已经在许多方面行动起来，以利用这一理想的时机来实行急需的结构性改革。	趋势要么过度约束(Europes ) , 要么扩散努力(United States ) 。 以避免债务和捍卫欧元为名,欧洲正在谨慎行事,而美国则在许多战线上走动,以免浪费理想契机实施急需的结构性改革。
Of course, the fall of the house of Lehman Brothers has nothing to do with the fall of the Berlin Wall. Indeed, on the surface it seems to be its perfect antithesis: the collapse of a wall symbolizing oppression and artificial divisions versus the collapse of a seemingly indestructible and reassuring institution of financial capitalism.	然而，作为地域战略学家，无论是从政治意义还是从经济意义上，让我自然想到的年份是1989年。当然，雷曼兄弟公司的倒闭和柏林墙的倒塌没有任何关系。事实上，从表面上看，两者似乎是完全是相反的：一个是象征着压抑和人为分裂的柏林墙的倒塌，而另一个是看似坚不可摧的并令人安心的金融资本主义机构的倒塌。	自然,雷曼兄弟院倒台与柏林墙倒塌无关。 事实上,表面上似乎是完全对立面:墙倒塌象征压迫和人工分治,反倒似乎不可摧毁和安心金融资本主义体系倒闭
The end of the East-West ideological divide and the end of absolute faith in markets are historical turning points. And what happens in 2009 may jeopardize some of the positive results of 1989, including the peaceful reunification of Europe and the triumph of democratic principles over nationalist, if not xenophobic, tendencies.	然而，和1989年一样，2008-2009年很可能也能被视为一个划时代的改变，其带来的发人深省的后果将在几十年后仍能让我们感受得到。东西方意识形态鸿沟的结束，以及对市场绝对信心的后果，都是历史的转折点。而2009年所发生的事情可能会威胁1989年革命所带来的积极成果，包括欧洲的和平统一和民主制度战胜了民族主义倾向，如果不是恐外倾向的话。	东西思想分治结束和市场绝对信任结束是历史转折点。 2009年发生的事情可能危及1989年的一些积极成果,包括欧洲和平统一和民主原则胜于民族主义趋势,如果不是排外趋势的话。
In 1989, liberal democracy triumphed over the socialist ideology incarnated and promoted by the Soviet Bloc. For many of his supporters, it was President Ronald Reagan who, with his deliberate escalation of the arms race, pushed the Soviet economy to the brink, thereby fully demonstrating the superiority of liberal societies and free markets.	1989年，自由民主战胜了由苏联集团具体化并推崇的社会主义意识形态。对于里根总统的许多的支持者来说，就是他精心策划的军备竞赛的升级，把苏联经济推向了崩溃的边缘，从而充分显示了自由社会和自由市场的优越性。	1989年自由民主战胜苏维埃集团所生化和推崇的社会主义思想。 总统里根(Ronald Reagan)许多支持者认为,他故意升级军备竞赛,将苏维埃经济推向边缘,从而充分展示自由社会和自由市场之优
First, and perhaps above all, the revolutions of 1989 and the subsequent collapse of the Soviet Union put an end to global bipolarity. By contrast, 2009 is likely to pave the way to a new form of bipolarity, but with China substituting for the Soviet Union.	当然，现在的情况和1989年的情况明显不同了。首先，也许是最重要的，1989年的革命和随后的苏联解体结束了全球的两极化。与此相反，2009年很可能会为一种新的两极化形式铺平道路，只是中国取代了苏联。	首先,也许最重要的是,1989年革命和随后苏维埃联盟崩溃终结了全球两极分化。 对比之下,2009年有可能为新式双极化铺路,但中国替代苏维埃联盟
Second, whereas democracy and market capitalism appeared as clear – if more fragile than expected – winners in 1989, it is difficult in 2009, with the spread of the global crisis, to distinguish winners from losers. Everyone seems to be a loser, even if some are more affected than others.	其二，民主制度和市场资本主义，或许要比预期的要脆弱些，看来确实是当时的赢家。而在2009年，随着全球危机的蔓延，却很难区分赢家和输家；每个人似乎都是输家，即使有些国家比其它国家受到的影响更大。	第二,当民主和市场资本主义1989年似乎清晰 — — 或比预期更加脆弱 — — 胜出时,随着全球危机扩散,2009年很难区分胜出者与败者。 每个人似乎都失败者,即使有些人比其他人受影响更多。
Yet, history is unfair, and the US, despite its greater responsibility for today’s global crisis, may emerge in better shape than most countries from the morass. In better shape, but not alone.	而历史是不公平的。尽管美国要为当今的全球危机负更大的责任，但美国可能会比大多数国家以更良好的势态走出困境。美国会恢复得更好，但并不是唯一能恢复的国家。作为哈佛大学和麻省理工学院的访问教授，我能看到危机过后的世界是什么样子的。	历史不公平,而尽管美国对今日全球危机负有更大的责任,但比大多数国家都更形形色色地出现。 状况更好,但不是孤立无援。
One senses something like the making of an American-Asian dominated universe. From the incredible media lab at MIT to the mathematics and economics departments at Harvard, Asians – Chinese and Indians, in particular – are everywhere, like the Romans in Athens in the first century BC: full of admiration for those from whom they were learning so much, and whom they would overcome in the coming decades.	我们能感受到一个美国和亚洲占主导地位的世界正在形成。从一流的麻省理工学院的媒体实验室到哈佛大学的数学和经济系，亚洲人-尤其是中国和印度人-到处都是，犹如公元前一世纪在雅典的罗马人一样：他们对那里学到太多东西的人们充满了敬佩，而他们将在今后几十年打败他们学习的对象。	人感像美亚支配宇宙的制作。 从麻省理工学院难以想象的媒体实验室到哈佛数学和经济学系,亚洲人-中国人和印第安人-无处不在,像公元前第一个世纪雅典罗马人一样:全心敬佩那些从中学习如此多并在未来几十年中将战胜谁的人。
But before this new order appears, the world may be faced with spreading disorder, if not outright chaos. What, for example, will happen to a country as central and vulnerable as Egypt when hundred of thousands of Egyptians working in the Gulf are forced to return to their homeland as a result of the crisis in the oil-producing countries?	但是，在这一新秩序的出现之前，世界可能会面临更广泛的混沌，如果不是彻底的混乱的话。例如，对埃及这样一个重要而又脆弱的国家，有数十万的埃及人曾在海湾工作但现在因石油生产国出现的危机而被迫返回了自己的家园，那埃及会发生什么情况呢？当富人不再那么富了，穷人就会更穷。还有，对于那些追求“欧洲梦”的外来工人，现在他们面临着理应是开放的欧洲国家的仇外心态可能的爆发，他们会有怎样的遭遇？	新秩序出现前,世界可能面临传播混乱,如果不是完全混乱的话。 举例说,当数十万在海湾工作的埃及人因石油输出国危机被迫返回故乡时,像埃及这样一个中心脆弱国会发生什么?
